town,date,variable,value,townVariable
ישראל,2020-02-18,resMA7,-0.42857142857142855,ישראל resMA7
אזור מרכז,2020-02-18,resMA7,-0.42857142857142855,אזור מרכז resMA7
נתניה,2020-02-18,resMA7,-0.2857142857142857,נתניה resMA7
פתח תקווה,2020-02-18,resMA7,-0.42857142857142855,פתח תקווה resMA7
רמלה,2020-02-18,resMA7,-0.42857142857142855,רמלה resMA7
רחובות,2020-02-18,resMA7,-0.42857142857142855,רחובות resMA7
אזור חיפה,2020-02-18,resMA7,-0.2857142857142857,אזור חיפה resMA7
חדרה,2020-02-18,resMA7,-0.42857142857142855,חדרה resMA7
חיפה,2020-02-18,resMA7,-0.2857142857142857,חיפה resMA7
ירושלים,2020-02-18,resMA7,-0.2857142857142857,ירושלים resMA7
אזור צפון,2020-02-18,resMA7,-0.7142857142857142,אזור צפון resMA7
עכו,2020-02-18,resMA7,-0.7142857142857142,עכו resMA7
טבריה,2020-02-18,resMA7,-0.7142857142857142,טבריה resMA7
צפת,2020-02-18,resMA7,-0.2857142857142857,צפת resMA7
עפולה,2020-02-18,resMA7,-0.5714285714285714,עפולה resMA7
אזור דרום,2020-02-18,resMA7,-0.2857142857142857,אזור דרום resMA7
אשקלון,2020-02-18,resMA7,-0.2857142857142857,אשקלון resMA7
באר שבע,2020-02-18,resMA7,-0.5714285714285714,באר שבע resMA7
תל אביב-יפו,2020-02-18,resMA7,-0.42857142857142855,תל אביב-יפו resMA7
ישראל,2020-02-19,resMA7,0.14285714285714285,ישראל resMA7
אזור מרכז,2020-02-19,resMA7,0.14285714285714285,אזור מרכז resMA7
נתניה,2020-02-19,resMA7,0,נתניה resMA7
פתח תקווה,2020-02-19,resMA7,0.14285714285714285,פתח תקווה resMA7
רמלה,2020-02-19,resMA7,0.14285714285714285,רמלה resMA7
רחובות,2020-02-19,resMA7,0.14285714285714285,רחובות resMA7
אזור חיפה,2020-02-19,resMA7,0,אזור חיפה resMA7
חדרה,2020-02-19,resMA7,0,חדרה resMA7
חיפה,2020-02-19,resMA7,0,חיפה resMA7
ירושלים,2020-02-19,resMA7,0.14285714285714285,ירושלים resMA7
אזור צפון,2020-02-19,resMA7,-0.2857142857142857,אזור צפון resMA7
עכו,2020-02-19,resMA7,-0.42857142857142855,עכו resMA7
טבריה,2020-02-19,resMA7,-0.2857142857142857,טבריה resMA7
עפולה,2020-02-19,resMA7,0,עפולה resMA7
אזור דרום,2020-02-19,resMA7,0.14285714285714285,אזור דרום resMA7
אשקלון,2020-02-19,resMA7,0.2857142857142857,אשקלון resMA7
באר שבע,2020-02-19,resMA7,-0.2857142857142857,באר שבע resMA7
תל אביב-יפו,2020-02-19,resMA7,0,תל אביב-יפו resMA7
ישראל,2020-02-20,resMA7,0.14285714285714285,ישראל resMA7
אזור מרכז,2020-02-20,resMA7,0.14285714285714285,אזור מרכז resMA7
נתניה,2020-02-20,resMA7,0,נתניה resMA7
פתח תקווה,2020-02-20,resMA7,0.14285714285714285,פתח תקווה resMA7
רמלה,2020-02-20,resMA7,0.14285714285714285,רמלה resMA7
רחובות,2020-02-20,resMA7,0.14285714285714285,רחובות resMA7
אזור חיפה,2020-02-20,resMA7,0,אזור חיפה resMA7
חדרה,2020-02-20,resMA7,0,חדרה resMA7
חיפה,2020-02-20,resMA7,0,חיפה resMA7
ירושלים,2020-02-20,resMA7,0,ירושלים resMA7
אזור צפון,2020-02-20,resMA7,-0.14285714285714285,אזור צפון resMA7
עכו,2020-02-20,resMA7,-0.2857142857142857,עכו resMA7
טבריה,2020-02-20,resMA7,-0.2857142857142857,טבריה resMA7
עפולה,2020-02-20,resMA7,0.14285714285714285,עפולה resMA7
אזור דרום,2020-02-20,resMA7,0.14285714285714285,אזור דרום resMA7
אשקלון,2020-02-20,resMA7,0.2857142857142857,אשקלון resMA7
באר שבע,2020-02-20,resMA7,-0.14285714285714285,באר שבע resMA7
תל אביב-יפו,2020-02-20,resMA7,0,תל אביב-יפו resMA7
ישראל,2020-02-21,resMA7,0.2857142857142857,ישראל resMA7
אזור מרכז,2020-02-21,resMA7,0.2857142857142857,אזור מרכז resMA7
נתניה,2020-02-21,resMA7,0,נתניה resMA7
פתח תקווה,2020-02-21,resMA7,0.14285714285714285,פתח תקווה resMA7
רמלה,2020-02-21,resMA7,0.14285714285714285,רמלה resMA7
רחובות,2020-02-21,resMA7,0.2857142857142857,רחובות resMA7
אזור חיפה,2020-02-21,resMA7,0,אזור חיפה resMA7
חדרה,2020-02-21,resMA7,0,חדרה resMA7
חיפה,2020-02-21,resMA7,0,חיפה resMA7
ירושלים,2020-02-21,resMA7,0.14285714285714285,ירושלים resMA7
אזור צפון,2020-02-21,resMA7,-0.14285714285714285,אזור צפון resMA7
עכו,2020-02-21,resMA7,-0.2857142857142857,עכו resMA7
טבריה,2020-02-21,resMA7,0,טבריה resMA7
עפולה,2020-02-21,resMA7,0.2857142857142857,עפולה resMA7
אזור דרום,2020-02-21,resMA7,0.7142857142857142,אזור דרום resMA7
אשקלון,2020-02-21,resMA7,1.1428571428571428,אשקלון resMA7
באר שבע,2020-02-21,resMA7,0.14285714285714285,באר שבע resMA7
תל אביב-יפו,2020-02-21,resMA7,0.14285714285714285,תל אביב-יפו resMA7
ישראל,2020-02-22,resMA7,0.42857142857142855,ישראל resMA7
אזור מרכז,2020-02-22,resMA7,0.2857142857142857,אזור מרכז resMA7
נתניה,2020-02-22,resMA7,0,נתניה resMA7
פתח תקווה,2020-02-22,resMA7,0.14285714285714285,פתח תקווה resMA7
רמלה,2020-02-22,resMA7,0.14285714285714285,רמלה resMA7
רחובות,2020-02-22,resMA7,0.2857142857142857,רחובות resMA7
אזור חיפה,2020-02-22,resMA7,0.14285714285714285,אזור חיפה resMA7
חדרה,2020-02-22,resMA7,0.14285714285714285,חדרה resMA7
חיפה,2020-02-22,resMA7,0.14285714285714285,חיפה resMA7
ירושלים,2020-02-22,resMA7,0.42857142857142855,ירושלים resMA7
אזור צפון,2020-02-22,resMA7,0,אזור צפון resMA7
עכו,2020-02-22,resMA7,-0.14285714285714285,עכו resMA7
טבריה,2020-02-22,resMA7,0,טבריה resMA7
עפולה,2020-02-22,resMA7,0.42857142857142855,עפולה resMA7
אזור דרום,2020-02-22,resMA7,1.2857142857142856,אזור דרום resMA7
אשקלון,2020-02-22,resMA7,1.714285714285714,אשקלון resMA7
באר שבע,2020-02-22,resMA7,0.7142857142857142,באר שבע resMA7
תל אביב-יפו,2020-02-22,resMA7,0.14285714285714285,תל אביב-יפו resMA7
ישראל,2020-02-23,resMA7,0.14285714285714285,ישראל resMA7
אזור מרכז,2020-02-23,resMA7,0,אזור מרכז resMA7
נתניה,2020-02-23,resMA7,-0.2857142857142857,נתניה resMA7
פתח תקווה,2020-02-23,resMA7,0,פתח תקווה resMA7
רמלה,2020-02-23,resMA7,0,רמלה resMA7
רחובות,2020-02-23,resMA7,0,רחובות resMA7
אזור חיפה,2020-02-23,resMA7,0,אזור חיפה resMA7
חדרה,2020-02-23,resMA7,-0.14285714285714285,חדרה resMA7
חיפה,2020-02-23,resMA7,0,חיפה resMA7
ירושלים,2020-02-23,resMA7,0.14285714285714285,ירושלים resMA7
אזור צפון,2020-02-23,resMA7,-0.14285714285714285,אזור צפון resMA7
עכו,2020-02-23,resMA7,-0.14285714285714285,עכו resMA7
טבריה,2020-02-23,resMA7,-0.14285714285714285,טבריה resMA7
עפולה,2020-02-23,resMA7,0.2857142857142857,עפולה resMA7
אזור דרום,2020-02-23,resMA7,0.8571428571428572,אזור דרום resMA7
אשקלון,2020-02-23,resMA7,1.2857142857142856,אשקלון resMA7
באר שבע,2020-02-23,resMA7,0.42857142857142855,באר שבע resMA7
תל אביב-יפו,2020-02-23,resMA7,0,תל אביב-יפו resMA7
ישראל,2020-02-24,resMA7,0,ישראל resMA7
אזור מרכז,2020-02-24,resMA7,0,אזור מרכז resMA7
נתניה,2020-02-24,resMA7,-0.42857142857142855,נתניה resMA7
פתח תקווה,2020-02-24,resMA7,-0.14285714285714285,פתח תקווה resMA7
רמלה,2020-02-24,resMA7,0,רמלה resMA7
רחובות,2020-02-24,resMA7,0,רחובות resMA7
אזור חיפה,2020-02-24,resMA7,-0.14285714285714285,אזור חיפה resMA7
חדרה,2020-02-24,resMA7,-0.14285714285714285,חדרה resMA7
חיפה,2020-02-24,resMA7,0,חיפה resMA7
ירושלים,2020-02-24,resMA7,0,ירושלים resMA7
אזור צפון,2020-02-24,resMA7,-0.14285714285714285,אזור צפון resMA7
עכו,2020-02-24,resMA7,-0.14285714285714285,עכו resMA7
טבריה,2020-02-24,resMA7,-0.2857142857142857,טבריה resMA7
עפולה,2020-02-24,resMA7,0.14285714285714285,עפולה resMA7
אזור דרום,2020-02-24,resMA7,0.8571428571428572,אזור דרום resMA7
אשקלון,2020-02-24,resMA7,1.2857142857142856,אשקלון resMA7
באר שבע,2020-02-24,resMA7,0.42857142857142855,באר שבע resMA7
תל אביב-יפו,2020-02-24,resMA7,0,תל אביב-יפו resMA7
ישראל,2020-02-25,resMA7,-0.14285714285714285,ישראל resMA7
אזור מרכז,2020-02-25,resMA7,0,אזור מרכז resMA7
נתניה,2020-02-25,resMA7,-0.5714285714285714,נתניה resMA7
פתח תקווה,2020-02-25,resMA7,-0.14285714285714285,פתח תקווה resMA7
רמלה,2020-02-25,resMA7,0,רמלה resMA7
רחובות,2020-02-25,resMA7,0,רחובות resMA7
אזור חיפה,2020-02-25,resMA7,-0.2857142857142857,אזור חיפה resMA7
חדרה,2020-02-25,resMA7,-0.2857142857142857,חדרה resMA7
חיפה,2020-02-25,resMA7,-0.14285714285714285,חיפה resMA7
ירושלים,2020-02-25,resMA7,-0.14285714285714285,ירושלים resMA7
אזור צפון,2020-02-25,resMA7,-0.42857142857142855,אזור צפון resMA7
עכו,2020-02-25,resMA7,-0.42857142857142855,עכו resMA7
טבריה,2020-02-25,resMA7,-0.42857142857142855,טבריה resMA7
עפולה,2020-02-25,resMA7,-0.14285714285714285,עפולה resMA7
אזור דרום,2020-02-25,resMA7,0.7142857142857142,אזור דרום resMA7
אשקלון,2020-02-25,resMA7,1.2857142857142856,אשקלון resMA7
באר שבע,2020-02-25,resMA7,0.2857142857142857,באר שבע resMA7
תל אביב-יפו,2020-02-25,resMA7,0,תל אביב-יפו resMA7
ישראל,2020-02-26,resMA7,-0.2857142857142857,ישראל resMA7
אזור מרכז,2020-02-26,resMA7,-0.14285714285714285,אזור מרכז resMA7
נתניה,2020-02-26,resMA7,-0.5714285714285714,נתניה resMA7
פתח תקווה,2020-02-26,resMA7,-0.2857142857142857,פתח תקווה resMA7
רמלה,2020-02-26,resMA7,-0.14285714285714285,רמלה resMA7
רחובות,2020-02-26,resMA7,-0.14285714285714285,רחובות resMA7
אזור חיפה,2020-02-26,resMA7,-0.2857142857142857,אזור חיפה resMA7
חדרה,2020-02-26,resMA7,-0.42857142857142855,חדרה resMA7
חיפה,2020-02-26,resMA7,-0.14285714285714285,חיפה resMA7
ירושלים,2020-02-26,resMA7,-0.28571428571428564,ירושלים resMA7
אזור צפון,2020-02-26,resMA7,-0.42857142857142855,אזור צפון resMA7
עכו,2020-02-26,resMA7,-0.42857142857142855,עכו resMA7
טבריה,2020-02-26,resMA7,-0.5714285714285714,טבריה resMA7
עפולה,2020-02-26,resMA7,-0.2857142857142857,עפולה resMA7
אזור דרום,2020-02-26,resMA7,0.5714285714285714,אזור דרום resMA7
אשקלון,2020-02-26,resMA7,1,אשקלון resMA7
באר שבע,2020-02-26,resMA7,0.2857142857142857,באר שבע resMA7
תל אביב-יפו,2020-02-26,resMA7,0,תל אביב-יפו resMA7
ישראל,2020-02-27,resMA7,-0.42857142857142855,ישראל resMA7
אזור מרכז,2020-02-27,resMA7,-0.2857142857142857,אזור מרכז resMA7
נתניה,2020-02-27,resMA7,-0.7142857142857142,נתניה resMA7
פתח תקווה,2020-02-27,resMA7,-0.42857142857142855,פתח תקווה resMA7
רמלה,2020-02-27,resMA7,-0.2857142857142857,רמלה resMA7
רחובות,2020-02-27,resMA7,-0.2857142857142857,רחובות resMA7
אזור חיפה,2020-02-27,resMA7,-0.42857142857142855,אזור חיפה resMA7
חדרה,2020-02-27,resMA7,-0.5714285714285714,חדרה resMA7
חיפה,2020-02-27,resMA7,-0.2857142857142857,חיפה resMA7
ירושלים,2020-02-27,resMA7,-0.28571428571428564,ירושלים resMA7
אזור צפון,2020-02-27,resMA7,-0.5714285714285714,אזור צפון resMA7
עכו,2020-02-27,resMA7,-0.5714285714285714,עכו resMA7
טבריה,2020-02-27,resMA7,-0.5714285714285714,טבריה resMA7
עפולה,2020-02-27,resMA7,-0.42857142857142855,עפולה resMA7
אזור דרום,2020-02-27,resMA7,0.28571428571428575,אזור דרום resMA7
אשקלון,2020-02-27,resMA7,0.8571428571428571,אשקלון resMA7
באר שבע,2020-02-27,resMA7,5.551115123125783e-17,באר שבע resMA7
תל אביב-יפו,2020-02-27,resMA7,-0.14285714285714285,תל אביב-יפו resMA7
ישראל,2020-02-28,resMA7,1.2857142857142856,ישראל resMA7
אזור מרכז,2020-02-28,resMA7,1.5714285714285716,אזור מרכז resMA7
נתניה,2020-02-28,resMA7,1.1428571428571428,נתניה resMA7
פתח תקווה,2020-02-28,resMA7,1.5714285714285716,פתח תקווה resMA7
רמלה,2020-02-28,resMA7,1.8571428571428572,רמלה resMA7
רחובות,2020-02-28,resMA7,1.7142857142857144,רחובות resMA7
אזור חיפה,2020-02-28,resMA7,1.4285714285714284,אזור חיפה resMA7
חדרה,2020-02-28,resMA7,1.2857142857142856,חדרה resMA7
חיפה,2020-02-28,resMA7,1.5714285714285712,חיפה resMA7
ירושלים,2020-02-28,resMA7,0.9999999999999999,ירושלים resMA7
