town,date,variable,value,townVariable
israel,2020-02-18,resMA7,-0.42857142857142855,israel resMA7
center,2020-02-18,resMA7,-0.42857142857142855,center resMA7
hasharon,2020-02-18,resMA7,-0.2857142857142857,hasharon resMA7
petach tikva,2020-02-18,resMA7,-0.42857142857142855,petach tikva resMA7
ramla,2020-02-18,resMA7,-0.42857142857142855,ramla resMA7
rehovot,2020-02-18,resMA7,-0.42857142857142855,rehovot resMA7
haifa-district,2020-02-18,resMA7,-0.2857142857142857,haifa-district resMA7
hadera,2020-02-18,resMA7,-0.42857142857142855,hadera resMA7
haifa,2020-02-18,resMA7,-0.2857142857142857,haifa resMA7
jerusalem,2020-02-18,resMA7,-0.2857142857142857,jerusalem resMA7
north,2020-02-18,resMA7,-0.7142857142857142,north resMA7
akko,2020-02-18,resMA7,-0.7142857142857142,akko resMA7
kinneret,2020-02-18,resMA7,-0.7142857142857142,kinneret resMA7
tzfat,2020-02-18,resMA7,-0.2857142857142857,tzfat resMA7
yizrael,2020-02-18,resMA7,-0.5714285714285714,yizrael resMA7
south,2020-02-18,resMA7,-0.2857142857142857,south resMA7
ashkelon,2020-02-18,resMA7,-0.2857142857142857,ashkelon resMA7
be'er-sheva,2020-02-18,resMA7,-0.5714285714285714,be'er-sheva resMA7
tlv,2020-02-18,resMA7,-0.42857142857142855,tlv resMA7
israel,2020-02-19,resMA7,0.14285714285714285,israel resMA7
center,2020-02-19,resMA7,0.14285714285714285,center resMA7
hasharon,2020-02-19,resMA7,0,hasharon resMA7
petach tikva,2020-02-19,resMA7,0.14285714285714285,petach tikva resMA7
ramla,2020-02-19,resMA7,0.14285714285714285,ramla resMA7
rehovot,2020-02-19,resMA7,0.14285714285714285,rehovot resMA7
haifa-district,2020-02-19,resMA7,0,haifa-district resMA7
hadera,2020-02-19,resMA7,0,hadera resMA7
haifa,2020-02-19,resMA7,0,haifa resMA7
jerusalem,2020-02-19,resMA7,0.14285714285714285,jerusalem resMA7
north,2020-02-19,resMA7,-0.2857142857142857,north resMA7
akko,2020-02-19,resMA7,-0.42857142857142855,akko resMA7
kinneret,2020-02-19,resMA7,-0.2857142857142857,kinneret resMA7
yizrael,2020-02-19,resMA7,0,yizrael resMA7
south,2020-02-19,resMA7,0.14285714285714285,south resMA7
ashkelon,2020-02-19,resMA7,0.2857142857142857,ashkelon resMA7
be'er-sheva,2020-02-19,resMA7,-0.2857142857142857,be'er-sheva resMA7
tlv,2020-02-19,resMA7,0,tlv resMA7
israel,2020-02-20,resMA7,0.14285714285714285,israel resMA7
center,2020-02-20,resMA7,0.14285714285714285,center resMA7
hasharon,2020-02-20,resMA7,0,hasharon resMA7
petach tikva,2020-02-20,resMA7,0.14285714285714285,petach tikva resMA7
ramla,2020-02-20,resMA7,0.14285714285714285,ramla resMA7
rehovot,2020-02-20,resMA7,0.14285714285714285,rehovot resMA7
haifa-district,2020-02-20,resMA7,0,haifa-district resMA7
hadera,2020-02-20,resMA7,0,hadera resMA7
haifa,2020-02-20,resMA7,0,haifa resMA7
jerusalem,2020-02-20,resMA7,0,jerusalem resMA7
north,2020-02-20,resMA7,-0.14285714285714285,north resMA7
akko,2020-02-20,resMA7,-0.2857142857142857,akko resMA7
kinneret,2020-02-20,resMA7,-0.2857142857142857,kinneret resMA7
yizrael,2020-02-20,resMA7,0.14285714285714285,yizrael resMA7
south,2020-02-20,resMA7,0.14285714285714285,south resMA7
ashkelon,2020-02-20,resMA7,0.2857142857142857,ashkelon resMA7
be'er-sheva,2020-02-20,resMA7,-0.14285714285714285,be'er-sheva resMA7
tlv,2020-02-20,resMA7,0,tlv resMA7
