country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,loc,res,rec,park,resMA7,recMA7,parkMA7,loch,town,dateTown,tests
IL,Israel,NA,NA,NA,NA,NA,2020-02-15,13,9,64,14,1,-3,israel,-3,13,64,NA,NA,NA,israel,ישראל,2020-02-15israel,NA
IL,Israel,Center District,NA,NA,IL-M,NA,2020-02-15,9,10,75,10,1,-3,center,-3,9,75,NA,NA,NA,center,אזור מרכז,2020-02-15center,NA
IL,Israel,Center District,NA,NA,NA,NA,2020-02-15,14,7,63,11,4,-2,hasharon,-2,14,63,NA,NA,NA,נתניה,נתניה,2020-02-15נתניה,NA
IL,Israel,Center District,NA,NA,NA,NA,2020-02-15,1,5,65,11,1,-3,petach tikva,-3,1,65,NA,NA,NA,פתח תקווה,פתח תקווה,2020-02-15פתח תקווה,NA
IL,Israel,Center District,NA,NA,NA,NA,2020-02-15,12,8,81,7,1,-3,ramla,-3,12,81,NA,NA,NA,רמלה,רמלה,2020-02-15רמלה,NA
IL,Israel,Center District,NA,NA,NA,NA,2020-02-15,5,-2,89,12,1,-3,rehovot,-3,5,89,NA,NA,NA,רחובות,רחובות,2020-02-15רחובות,NA
IL,Israel,Haifa District,NA,NA,IL-HA,NA,2020-02-15,9,5,28,8,0,-1,haifa-district,-1,9,28,NA,NA,NA,haifa-district,אזור חיפה,2020-02-15haifa-district,NA
IL,Israel,Haifa District,NA,NA,NA,NA,2020-02-15,9,3,49,11,2,-2,hadera,-2,9,49,NA,NA,NA,חדרה,חדרה,2020-02-15חדרה,NA
IL,Israel,Haifa District,NA,NA,NA,NA,2020-02-15,7,5,7,3,0,-1,haifa,-1,7,7,NA,NA,NA,חיפה,חיפה,2020-02-15חיפה,NA
IL,Israel,Jerusalem District,NA,NA,IL-JM,NA,2020-02-15,12,2,67,20,1,-3,jerusalem,-3,12,67,NA,NA,NA,ירושלים,ירושלים,2020-02-15ירושלים,NA
